GeneID,Hpb_1,Hpb_2,Hpb_3,Hpb_4,Hpb_5,Naive_1,Naive_2,Naive_3,Naive_4,Naive_5
MGP_BALBcJ_G0000436,7,8,12,18,8,0,16,10,50,23
MGP_BALBcJ_G0016593,84793,112904,57122,108680,84854,88012,70930,71124,48622,100993
MGP_BALBcJ_G0016464,1375,1596,1398,1417,1609,1674,1913,1662,631,1729
MGP_BALBcJ_G0009972,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0007586,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016458,20,14,10,0,2,6,6,12,0,4
MGP_BALBcJ_G0016365,4039,3557,3595,5829,4097,3582,3757,3844,5052,3454
MGP_BALBcJ_G0016485,392,320,375,652,430,401,341,535,590,529
MGP_BALBcJ_G0004819,8,6,4,0,4,7,9,5,16,4
MGP_BALBcJ_G0015878,4200,5108,3209,2320,5108,5147,3563,4308,1192,4329
MGP_BALBcJ_G0016437,708,456,406,209,492,389,357,518,25,518
MGP_BALBcJ_G0002601,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016369,3511,2929,2600,4738,3298,2916,2727,2692,2560,2265
MGP_BALBcJ_G0015871,12427,10103,10112,15547,11510,11123,7489,9220,9693,8606
MGP_BALBcJ_G0004849,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016000,324,362,355,909,280,226,344,305,489,259
MGP_BALBcJ_G0004951,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016837,917,834,758,506,745,731,720,735,143,721
MGP_BALBcJ_G0010374,2,0,0,0,0,0,0,0,0,2
MGP_BALBcJ_G0010262,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0002693,0,0,0,0,0,0,0,0,0,1
MGP_BALBcJ_G0004895,0,0,0,0,0,0,0,2,0,0
MGP_BALBcJ_G0038447,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000302,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0015850,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016665,5759,3387,3393,5324,3147,2289,2611,3130,3978,2117
MGP_BALBcJ_G0015065,276,169,188,75,198,170,143,126,330,118
MGP_BALBcJ_G0016891,296,320,292,73,345,231,255,317,24,276
MGP_BALBcJ_G0015950,916,711,928,1486,794,723,889,846,639,757
MGP_BALBcJ_G0010385,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010414,2,0,0,0,0,0,0,0,0,4
MGP_BALBcJ_G0016300,369,347,304,1207,380,400,386,303,786,410
MGP_BALBcJ_G0016679,1092,877,928,1653,727,522,689,618,558,387
MGP_BALBcJ_G0000335,1,1,0,0,1,0,0,0,0,10
MGP_BALBcJ_G0000645,4,0,2,0,4,0,3,0,0,0
MGP_BALBcJ_G0036842,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010247,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010133,2,0,2,0,0,0,0,0,0,0
MGP_BALBcJ_G0016453,0,0,0,0,1,0,0,0,0,1
MGP_BALBcJ_G0016106,5604,5601,4982,761,6471,9304,7840,8694,418,7104
MGP_BALBcJ_G0000532,0,0,0,8,0,0,0,0,2,0
MGP_BALBcJ_G0016487,3496,3008,2860,5942,3612,3603,3372,3272,5142,3095
MGP_BALBcJ_G0009357,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000504,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016251,3397,3624,2821,1695,3474,3450,2491,3070,1188,2717
MGP_BALBcJ_G0016234,6768,7010,6123,5305,7335,6593,6295,5741,1913,5172
MGP_BALBcJ_G0016543,22585,17197,17640,25298,21123,19830,22160,24147,20755,24440
MGP_BALBcJ_G0002649,29,23,24,30,36,16,25,20,28,28
MGP_BALBcJ_G0002651,1,0,0,0,0,1,0,0,0,0
MGP_BALBcJ_G0000524,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016431,1335,1524,961,6558,1283,1243,1534,1314,4058,1269
MGP_BALBcJ_G0010006,0,2,0,0,0,6,0,0,0,0
MGP_BALBcJ_G0004756,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010058,0,0,0,0,0,0,0,0,1,0
MGP_BALBcJ_G0000669,90,102,92,112,106,52,60,28,0,72
MGP_BALBcJ_G0038354,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000451,0,2,1,0,0,2,4,5,0,5
MGP_BALBcJ_G0016299,5812,5123,5266,15966,5779,5583,4812,4873,13028,4483
MGP_BALBcJ_G0010279,0,0,0,0,0,2,2,2,0,0
MGP_BALBcJ_G0000485,0,0,0,0,0,0,2,0,0,0
MGP_BALBcJ_G0010134,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0039907,27,4,7,16,4,20,8,9,14,18
MGP_BALBcJ_G0000454,0,2,0,10,2,0,2,4,0,0
MGP_BALBcJ_G0016824,0,0,0,0,2,0,0,0,0,0
MGP_BALBcJ_G0016280,7770,7442,6315,17425,7804,7651,7561,7493,12407,6846
MGP_BALBcJ_G0002685,18,31,13,71,21,19,24,26,28,32
MGP_BALBcJ_G0016206,1704,1057,1371,569,1014,955,1165,1056,188,791
MGP_BALBcJ_G0038396,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010250,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0015886,6196,6240,4937,12193,6475,6552,6379,6182,7576,5218
MGP_BALBcJ_G0004935,1,2,3,0,0,0,0,1,0,2
MGP_BALBcJ_G0009954,1,0,0,0,0,0,0,2,0,0
MGP_BALBcJ_G0010081,0,0,0,1,1,0,0,0,1,1
MGP_BALBcJ_G0016263,1126,966,753,60,740,838,830,870,73,671
MGP_BALBcJ_G0016685,2171,2003,1554,883,1854,1606,2043,1977,482,2015
MGP_BALBcJ_G0000387,0,0,0,0,4,0,0,0,0,0
MGP_BALBcJ_G0016441,110,188,121,80,174,221,108,153,51,167
MGP_BALBcJ_G0010322,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016223,0,2,0,0,0,0,0,2,0,0
MGP_BALBcJ_G0016335,21946,18899,16439,18102,18595,18135,19835,19891,15125,17657
MGP_BALBcJ_G0002762,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010341,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0038427,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010057,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000456,11,7,9,18,11,13,3,10,0,8
MGP_BALBcJ_G0004910,4,1,1,0,0,2,1,0,0,2
MGP_BALBcJ_G0016420,272,189,187,60,158,153,178,166,19,115
MGP_BALBcJ_G0016088,5199,4852,4164,389,4533,5506,4714,4866,247,4715
MGP_BALBcJ_G0000536,8,0,2,0,2,2,0,0,0,0
MGP_BALBcJ_G0016755,173,215,97,395,157,66,96,91,153,60
MGP_BALBcJ_G0000703,0,10,2,0,11,4,2,8,0,5
MGP_BALBcJ_G0016228,6,2,4,0,6,0,0,0,0,0
MGP_BALBcJ_G0016544,15,3,8,54,10,2,14,7,8,10
MGP_BALBcJ_G0010328,2,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000731,0,0,0,0,2,0,5,0,0,0
